1,2,layer,prompt_id
2.025390625,0.2352294921875,28,p004
5.21484375,3.6796875,29,p004
6.671875,5.7265625,30,p004
6.6875,6.80859375,31,p004
8.3984375,7.5859375,32,p004
10.8984375,10.5546875,33,p004
16.078125,15.6015625,34,p004
20.4375,19.6875,35,p004
-0.309814453125,-0.86572265625,0,p005
-1.7294921875,-1.80859375,1,p005
-1.5615234375,-1.708984375,2,p005
-1.828125,-1.0810546875,3,p005
-0.1124267578125,1.548828125,4,p005
1.9990234375,2.99609375,5,p005
1.4814453125,1.404296875,6,p005
2.76953125,2.7265625,7,p005
3.275390625,3.126953125,8,p005
1.7724609375,1.40234375,9,p005
1.267578125,0.28662109375,10,p005
2.947265625,1.162109375,11,p005
2.376953125,1.6103515625,12,p005
0.83203125,-0.3828125,13,p005
1.3515625,0.0134429931640625,14,p005
1.509765625,0.859375,15,p005
1.2109375,-1.4638671875,16,p005
3.759765625,0.54638671875,17,p005
4.375,1.5751953125,18,p005
3.33984375,2.162109375,19,p005
4.0234375,2.990234375,20,p005
3.19921875,2.2734375,21,p005
2.908203125,2.701171875,22,p005
2.68359375,2.7421875,23,p005
1.482421875,1.8984375,24,p005
1.390625,2.1015625,25,p005
1.3544921875,1.8291015625,26,p005
0.22021484375,0.810546875,27,p005
0.62939453125,0.87060546875,28,p005
1.482421875,2.287109375,29,p005
2.986328125,4.29296875,30,p005
3.525390625,5.3359375,31,p005
2.359375,5.49609375,32,p005
6.55859375,9.65625,33,p005
11.609375,15.4765625,34,p005
16.71875,19.40625,35,p005
-0.156494140625,-0.75830078125,0,p006
-1.7197265625,-1.7822265625,1,p006
-1.4208984375,-1.6162109375,2,p006
-1.38671875,-0.7783203125,3,p006
0.266845703125,1.8095703125,4,p006
2.1796875,3.18359375,5,p006
1.724609375,1.7216796875,6,p006
3.611328125,3.830078125,7,p006
3.458984375,3.515625,8,p006
1.8916015625,1.7021484375,9,p006
0.81689453125,0.24853515625,10,p006
2.29296875,1.2353515625,11,p006
2.19921875,1.7734375,12,p006
0.9375,0.332275390625,13,p006
0.81640625,0.19189453125,14,p006
0.7353515625,0.611328125,15,p006
0.23779296875,-1.1328125,16,p006
3.85546875,0.81787109375,17,p006
3.75390625,1.341796875,18,p006
2.103515625,0.6474609375,19,p006
2.822265625,1.7490234375,20,p006
3.23828125,2.048828125,21,p006
2.974609375,2.390625,22,p006
2.498046875,2.369140625,23,p006
1.4921875,1.53125,24,p006
0.84619140625,0.98291015625,25,p006
0.452880859375,0.91748046875,26,p006
-0.59375,0.2100830078125,27,p006
-0.34423828125,0.43310546875,28,p006
1.0166015625,2.447265625,29,p006
1.4091796875,3.49609375,30,p006
2.041015625,4.3671875,31,p006
-0.271240234375,4.14453125,32,p006
4.90625,8.8125,33,p006
10.65625,14.625,34,p006
14.765625,17.328125,35,p006
0.1619873046875,-0.47802734375,0,p007
-1.3916015625,-1.6396484375,1,p007
-1.13671875,-1.447265625,2,p007
-1.2666015625,-0.80908203125,3,p007
0.302978515625,1.88671875,4,p007
2.201171875,3.08203125,5,p007
1.4599609375,1.4677734375,6,p007
2.412109375,2.34765625,7,p007
2.337890625,2.99609375,8,p007
0.75390625,1.3984375,9,p007
0.1842041015625,0.1932373046875,10,p007
0.5234375,-0.0185394287109375,11,p007
0.83740234375,0.9482421875,12,p007
0.047210693359375,-0.1383056640625,13,p007
0.1624755859375,-0.412109375,14,p007
0.39990234375,0.454345703125,15,p007
-0.036712646484375,-1.4951171875,16,p007
1.87890625,-0.595703125,17,p007
3.85546875,1.0732421875,18,p007
1.8837890625,0.759765625,19,p007
2.296875,1.740234375,20,p007
2.5234375,1.3505859375,21,p007
2.662109375,1.4521484375,22,p007
3.02734375,1.8408203125,23,p007
1.814453125,0.76904296875,24,p007
1.3720703125,0.69189453125,25,p007
1.03125,0.1517333984375,26,p007
0.611328125,0.0863037109375,27,p007
0.6953125,0.132080078125,28,p007
2.822265625,1.68359375,29,p007
3.5625,2.703125,30,p007
3.6015625,2.923828125,31,p007
4.484375,3.888671875,32,p007
10.28125,9.6796875,33,p007
16.265625,15.8046875,34,p007
18.234375,17.46875,35,p007
0.24951171875,-0.362060546875,0,p008
-1.1708984375,-1.390625,1,p008
-1.1474609375,-1.34765625,2,p008
-1.18359375,-0.5517578125,3,p008
0.28564453125,1.8857421875,4,p008
2.703125,3.615234375,5,p008
1.6806640625,1.3271484375,6,p008
2.80078125,2.412109375,7,p008
2.263671875,2.5625,8,p008
0.89697265625,1.0283203125,9,p008
-0.78857421875,-1.0380859375,10,p008
-0.26123046875,-1.1826171875,11,p008
0.038421630859375,-0.369140625,12,p008
-0.8369140625,-0.96044921875,13,p008
